N,U,1927,EURINR 21 Oct 2022 CE 77.7500,XX,21-10-2022 14:30,CE,77.75, ,EURINR,EURINR 21 Oct 2022 CE 77.7500,1,Y,0,1,21-Oct-22,EURINR,0.0025
N,U,1928,EURINR 27 Oct 2022 CE 80.7500,XX,27-10-2022 14:30,CE,80.75, ,EURINR,EURINR 27 Oct 2022 CE 80.7500,1,Y,0,1,27-Oct-22,EURINR,0.0025
N,U,1929,EURINR 28 Dec 2022 CE 91.0000,XX,28-12-2022 14:30,CE,91, ,EURINR,EURINR 28 Dec 2022 CE 91.0000,1,Y,0,1,28-Dec-22,EURINR,0.0025
N,U,2029,EURINR 23 Sep 2022 PE 83.7500,XX,23-09-2022 14:30,PE,83.75, ,EURINR,EURINR 23 Sep 2022 PE 83.7500,1,Y,0,1,23-Sep-22,EURINR,0.0025
N,U,2030,EURINR 27 Oct 2022 PE 83.0000,XX,27-10-2022 14:30,PE,83, ,EURINR,EURINR 27 Oct 2022 PE 83.0000,1,Y,0,1,27-Oct-22,EURINR,0.0025
N,U,2031,EURINR 27 Oct 2022 CE 83.2500,XX,27-10-2022 14:30,CE,83.25, ,EURINR,EURINR 27 Oct 2022 CE 83.2500,1,Y,0,1,27-Oct-22,EURINR,0.0025
N,U,2032,EURINR 27 Oct 2022 PE 83.2500,XX,27-10-2022 14:30,PE,83.25, ,EURINR,EURINR 27 Oct 2022 PE 83.2500,1,Y,0,1,27-Oct-22,EURINR,0.0025
N,U,2033,EURINR 27 Oct 2022 CE 83.5000,XX,27-10-2022 14:30,CE,83.5, ,EURINR,EURINR 27 Oct 2022 CE 83.5000,1,Y,0,1,27-Oct-22,EURINR,0.0025
N,U,2037,EURINR 23 Sep 2022 CE 84.0000,XX,23-09-2022 14:30,CE,84, ,EURINR,EURINR 23 Sep 2022 CE 84.0000,1,Y,0,1,23-Sep-22,EURINR,0.0025
N,U,2038,EURINR 23 Sep 2022 PE 84.0000,XX,23-09-2022 14:30,PE,84, ,EURINR,EURINR 23 Sep 2022 PE 84.0000,1,Y,0,1,23-Sep-22,EURINR,0.0025
N,U,2039,EURINR 23 Sep 2022 CE 84.2500,XX,23-09-2022 14:30,CE,84.25, ,EURINR,EURINR 23 Sep 2022 CE 84.2500,1,Y,0,1,23-Sep-22,EURINR,0.0025
N,U,2043,EURINR 23 Sep 2022 PE 84.2500,XX,23-09-2022 14:30,PE,84.25, ,EURINR,EURINR 23 Sep 2022 PE 84.2500,1,Y,0,1,23-Sep-22,EURINR,0.0025
N,U,2096,EURINR 27 Oct 2022 PE 83.7500,XX,27-10-2022 14:30,PE,83.75, ,EURINR,EURINR 27 Oct 2022 PE 83.7500,1,Y,0,1,27-Oct-22,EURINR,0.0025
N,U,2098,EURINR 23 Sep 2022 PE 84.7500,XX,23-09-2022 14:30,PE,84.75, ,EURINR,EURINR 23 Sep 2022 PE 84.7500,1,Y,0,1,23-Sep-22,EURINR,0.0025
N,U,2099,EURINR 27 Oct 2022 CE 84.0000,XX,27-10-2022 14:30,CE,84, ,EURINR,EURINR 27 Oct 2022 CE 84.0000,1,Y,0,1,27-Oct-22,EURINR,0.0025
N,U,2103,EURINR 23 Sep 2022 CE 85.0000,XX,23-09-2022 14:30,CE,85, ,EURINR,EURINR 23 Sep 2022 CE 85.0000,1,Y,0,1,23-Sep-22,EURINR,0.0025
